                                         car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                          
----------------------------------------------------------------------------------------------------------------------------------------------
 SP-3543402-6109C1AAE9F3400ABB2A8BBFB1351BF3;1.4361;SP;Ribeirão Preto;0.1436;IRU;AT;Aguardando análise
 SP-3543402-A6C7D1F7C030440D931AAB955DCFFE30;37.6517;SP;Ribeirão Preto;3.7652;IRU;AT;Aguardando analise
 SP-3543402-481F97717EDA416B8B1B616D7D076D5F;18.8794;SP;Ribeirão Preto;1.8879;IRU;AT;Aguardando analise
 SP-3543402-985559048B3543808E056F39C2366BCC;112.6396;SP;Ribeirão Preto;11.2640;IRU;AT;Aguardando analise
 SP-3543402-F02367E6067245A1B52F4573507EDF04;0.0982;SP;Ribeirão Preto;0.0098;IRU;AT;Aguardando análise
 SP-3543402-8DFCF99212374DA6B393046B856ED59D;2.8231;SP;Ribeirão Preto;0.2823;IRU;AT;Aguardando analise
 SP-3543402-A84015DE04E54B849E75CCB50404E0A1;19.9818;SP;Ribeirão Preto;1.9982;IRU;AT;Aguardando análise
 SP-3543402-1F8A419DC6A043D0AEB8A3A3BAD0FF4F;11.9170;SP;Ribeirão Preto;1.1518;IRU;AT;Aguardando análise
 SP-3543402-9364CE4EDFAD4AFA961E02667634B1AC;2.5582;SP;Ribeirão Preto;0.2558;IRU;AT;Aguardando análise
 SP-3543402-D87F542C4B524300BF62003E9309F186;34.8511;SP;Ribeirão Preto;3.4851;IRU;AT;Aguardando analise
 SP-3543402-27A5E311C1E04422A1A8F3E9BFC854C7;38.1618;SP;Ribeirão Preto;3.8162;IRU;AT;Aguardando analise
 SP-3543402-86DB70312DC7428C99B755A2545A6E27;7.5044;SP;Ribeirão Preto;0.7504;IRU;AT;Aguardando analise
 SP-3543402-1E236254DFB54D35A53A84D65E5AA2E6;2.8865;SP;Ribeirão Preto;0.2887;IRU;AT;Aguardando analise
 SP-3543402-0265100F8CAE4E1CB8A4576361571254;54.3415;SP;Ribeirão Preto;5.4341;IRU;AT;Aguardando análise
 SP-3543402-2CCF77936F9B4DB493EA2BDE503B0FF5;217.8023;SP;Ribeirão Preto;21.7802;IRU;AT;Aguardando análise
 SP-3543402-90AC1DE8F23E4F6783172BEF0B3D086B;7.0948;SP;Ribeirão Preto;0.7095;IRU;AT;Aguardando analise
 SP-3543402-29A0FA86E50244CAAD10E89BC058DBB0;628.9572;SP;Ribeirão Preto;62.8942;IRU;AT;Aguardando analise
 SP-3543402-DD7D513013CA4BBEA876028302B40A48;46.0688;SP;Ribeirão Preto;4.5996;IRU;AT;Aguardando análise
 SP-3543402-241317B05BF84F42857D8F5BDACE1B06;11.5680;SP;Ribeirão Preto;1.1568;IRU;AT;Aguardando análise
 SP-3543402-3B7D64503837468F9E7E68981DD2A8EF;88.8688;SP;Ribeirão Preto;8.7150;IRU;AT;Aguardando análise
